código,descriptor_es,descriptor_en
9180/32,"Osteosarcoma, NEOM - grado II, moderadamente diferenciado","Osteosarcoma, NOS - grade II, moderately differentiated"
9180/33,"Osteosarcoma, NEOM - grado III, pobremente diferenciado","Osteosarcoma, NOS - grade III, poorly differentiated"
9180/34,"Osteosarcoma, NEOM - grado IV, indiferenciado","Osteosarcoma, NOS - grade IV, undifferentiated"
9180/39,"Osteosarcoma, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Osteosarcoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
9180/6,"Osteosarcoma, NEOM, metástasis","Osteosarcoma, NOS, metastasis"
9181/3,Osteosarcoma condroblástico,Chondroblastic osteosarcoma
9181/31,"Osteosarcoma condroblástico - grado I, bien diferenciado","Chondroblastic osteosarcoma - grade I, well differentiated"
9181/32,"Osteosarcoma condroblástico - grado II, moderadamente diferenciado","Chondroblastic osteosarcoma - grade II, moderately differentiated"
9181/33,"Osteosarcoma condroblástico - grado III, pobremente diferenciado","Chondroblastic osteosarcoma - grade III, poorly differentiated"
9181/34,"Osteosarcoma condroblástico - grado IV, indiferenciado","Chondroblastic osteosarcoma - grade IV, undifferentiated"
9181/39,"Osteosarcoma condroblástico - grado o diferenciación sin determinar o sin asignar, o no procede","Chondroblastic osteosarcoma - grade or differentiation not determined or not assigned, or not applicable"
9181/6,"Osteosarcoma condroblástico, metástasis","Chondroblastic osteosarcoma, metastasis"
9182/3,Osteosarcoma fibroblástico,Fibroblastic osteosarcoma
9182/31,"Osteosarcoma fibroblástico - grado I, bien diferenciado","Fibroblastic osteosarcoma - grade I, well differentiated"
9182/32,"Osteosarcoma fibroblástico - grado II, moderadamente diferenciado","Fibroblastic osteosarcoma - grade II, moderately differentiated"
9182/33,"Osteosarcoma fibroblástico - grado III, pobremente diferenciado","Fibroblastic osteosarcoma - grade III, poorly differentiated"
9182/34,"Osteosarcoma fibroblástico - grado IV, indiferenciado","Fibroblastic osteosarcoma - grade IV, undifferentiated"
9182/39,"Osteosarcoma fibroblástico - grado o diferenciación sin determinar o sin asignar, o no procede","Fibroblastic osteosarcoma - grade or differentiation not determined or not assigned, or not applicable"
9182/6,"Osteosarcoma fibroblástico, metástasis","Fibroblastic osteosarcoma, metastasis"
9183/3,Osteosarcoma telangiectásico,Telangiectatic osteosarcoma
9183/31,"Osteosarcoma telangiectásico - grado I, bien diferenciado","Telangiectatic osteosarcoma - grade I, well differentiated"
9183/32,"Osteosarcoma telangiectásico - grado II, moderadamente diferenciado","Telangiectatic osteosarcoma - grade II, moderately differentiated"
9183/33,"Osteosarcoma telangiectásico - grado III, pobremente diferenciado","Telangiectatic osteosarcoma - grade III, poorly differentiated"
9183/34,"Osteosarcoma telangiectásico - grado IV, indiferenciado","Telangiectatic osteosarcoma - grade IV, undifferentiated"
9183/39,"Osteosarcoma telangiectásico - grado o diferenciación sin determinar o sin asignar, o no procede","Telangiectatic osteosarcoma - grade or differentiation not determined or not assigned, or not applicable"
9183/6,"Osteosarcoma telangiectásico, metástasis","Telangiectatic osteosarcoma, metastasis"
9184/3,Osteosarcoma en la enfermedad de Paget del hueso,Osteosarcoma in Paget disease of bone
9184/31,"Osteosarcoma en la enfermedad de Paget del hueso - grado I, bien diferenciado","Osteosarcoma in Paget disease of bone - grade I, well differentiated"
9184/32,"Osteosarcoma en la enfermedad de Paget del hueso - grado II, moderadamente diferenciado","Osteosarcoma in Paget disease of bone - grade II, moderately differentiated"
9184/33,"Osteosarcoma en la enfermedad de Paget del hueso - grado III, pobremente diferenciado","Osteosarcoma in Paget disease of bone - grade III, poorly differentiated"
9184/34,"Osteosarcoma en la enfermedad de Paget del hueso - grado IV, indiferenciado","Osteosarcoma in Paget disease of bone - grade IV, undifferentiated"
9184/39,"Osteosarcoma en la enfermedad de Paget del hueso - grado o diferenciación sin determinar o sin asignar, o no procede","Osteosarcoma in Paget disease of bone - grade or differentiation not determined or not assigned, or not applicable"
9184/6,"Osteosarcoma en la enfermedad de Paget del hueso, metástasis","Osteosarcoma in Paget disease of bone, metastasis"
9185/3,Osteosarcoma de células pequeñas,Small cell osteosarcoma
9185/31,"Osteosarcoma de células pequeñas - grado I, bien diferenciado","Small cell osteosarcoma - grade I, well differentiated"
9185/32,"Osteosarcoma de células pequeñas - grado II, moderadamente diferenciado","Small cell osteosarcoma - grade II, moderately differentiated"
9185/33,"Osteosarcoma de células pequeñas - grado III, pobremente diferenciado","Small cell osteosarcoma - grade III, poorly differentiated"
