código,descriptor_es,descriptor_en
8052/33,"Carcinoma papilar de células escamosas - grado III, pobremente diferenciado","Papillary squamous cell carcinoma - grade III, poorly differentiated"
8052/34,"Carcinoma papilar de células escamosas - grado IV, indiferenciado","Papillary squamous cell carcinoma - grade IV, undifferentiated"
8052/39,"Carcinoma papilar de células escamosas - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary squamous cell carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8052/6,"Carcinoma papilar de células escamosas, metástasis","Papillary squamous cell carcinoma, metastasis"
8053/0,"Papiloma de células escamosas, invertido","Squamous cell papilloma, inverted"
8054/0,Disqueratoma verrugoso,Warty dyskeratoma
8054/3,Carcinoma verrugoso,Warty carcinoma
8054/31,"Carcinoma verrugoso - grado I, bien diferenciado","Warty carcinoma - grade I, well differentiated"
8054/32,"Carcinoma verrugoso - grado II, moderadamente diferenciado","Warty carcinoma - grade II, moderately differentiated"
8054/33,"Carcinoma verrugoso - grado III, pobremente diferenciado","Warty carcinoma - grade III, poorly differentiated"
8054/34,"Carcinoma verrugoso - grado IV, indiferenciado","Warty carcinoma - grade IV, undifferentiated"
8054/39,"Carcinoma verrugoso - grado o diferenciación sin determinar o sin asignar, o no procede","Warty carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8054/6,"Carcinoma verrugoso, metástasis","Warty carcinoma, metastasis"
8060/0,Papilomatosis escamosa,Squamous papillomatosis
8070/0,Queratosis actínica,Actinic keratosis
8070/2,"Carcinoma de células escamosas in situ, NEOM","Squamous cell carcinoma in situ, NOS"
8070/21,"Carcinoma de células escamosas in situ, NEOM - grado I, bien diferenciado","Squamous cell carcinoma in situ, NOS - grade I, well differentiated"
8070/22,"Carcinoma de células escamosas in situ, NEOM - grado II, moderadamente diferenciado","Squamous cell carcinoma in situ, NOS - grade II, moderately differentiated"
8070/23,"Carcinoma de células escamosas in situ, NEOM - grado III, pobremente diferenciado","Squamous cell carcinoma in situ, NOS - grade III, poorly differentiated"
8070/24,"Carcinoma de células escamosas in situ, NEOM - grado IV, indiferenciado","Squamous cell carcinoma in situ, NOS - grade IV, undifferentiated"
8070/29,"Carcinoma de células escamosas in situ, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma in situ, NOS - grade or differentiation not determined or not assigned, or not applicable"
8070/3,"Carcinoma de células escamosas, NEOM","Squamous cell carcinoma, NOS"
8070/31,"Carcinoma de células escamosas, NEOM - grado I, bien diferenciado","Squamous cell carcinoma, NOS - grade I, well differentiated"
8070/32,"Carcinoma de células escamosas, NEOM - grado II, moderadamente diferenciado","Squamous cell carcinoma, NOS - grade II, moderately differentiated"
8070/33,"Carcinoma de células escamosas, NEOM - grado III, pobremente diferenciado","Squamous cell carcinoma, NOS - grade III, poorly differentiated"
8070/34,"Carcinoma de células escamosas, NEOM - grado IV, indiferenciado","Squamous cell carcinoma, NOS - grade IV, undifferentiated"
8070/39,"Carcinoma de células escamosas, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8070/6,"Carcinoma de células escamosas, metastásico, NEOM","Squamous cell carcinoma, metastatic, NOS"
8071/2,Neoplasia intraepitelial diferenciada,Differentiated intraepithelial neoplasia
8071/21,"Neoplasia intraepitelial diferenciada - grado I, bien diferenciado","Differentiated intraepithelial neoplasia - grade I, well differentiated"
8071/22,"Neoplasia intraepitelial diferenciada - grado II, moderadamente diferenciado","Differentiated intraepithelial neoplasia - grade II, moderately differentiated"
8071/23,"Neoplasia intraepitelial diferenciada - grado III, pobremente diferenciado","Differentiated intraepithelial neoplasia - grade III, poorly differentiated"
8071/24,"Neoplasia intraepitelial diferenciada - grado IV, indiferenciado","Differentiated intraepithelial neoplasia - grade IV, undifferentiated"
8071/29,"Neoplasia intraepitelial diferenciada - grado o diferenciación sin determinar o sin asignar, o no procede","Differentiated intraepithelial neoplasia - grade or differentiation not determined or not assigned, or not applicable"
8071/3,"Carcinoma de células escamosas, queratinizante, NEOM","Squamous cell carcinoma, keratinizing, NOS"
8071/31,"Carcinoma de células escamosas, queratinizante, NEOM - grado I, bien diferenciado","Squamous cell carcinoma, keratinizing, NOS - grade I, well differentiated"
8071/32,"Carcinoma de células escamosas, queratinizante, NEOM - grado II, moderadamente diferenciado","Squamous cell carcinoma, keratinizing, NOS - grade II, moderately differentiated"
8071/33,"Carcinoma de células escamosas, queratinizante, NEOM - grado III, pobremente diferenciado","Squamous cell carcinoma, keratinizing, NOS - grade III, poorly differentiated"
8071/34,"Carcinoma de células escamosas, queratinizante, NEOM - grado IV, indiferenciado","Squamous cell carcinoma, keratinizing, NOS - grade IV, undifferentiated"
8071/39,"Carcinoma de células escamosas, queratinizante, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, keratinizing, NOS - grade or differentiation not determined or not assigned, or not applicable"
8071/6,"Carcinoma de células escamosas, queratinizante, NEOM, metástasis","Squamous cell carcinoma, keratinizing, NOS, metastasis"
8072/0,Acantoma de células grandes,Large cell acanthoma
8072/3,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM","Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8072/31,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM - grado I, bien diferenciado","Squamous cell carcinoma, large cell, nonkeratinizing, NOS - grade I, well differentiated"
8072/32,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM - grado II, moderadamente diferenciado","Squamous cell carcinoma, large cell, nonkeratinizing, NOS - grade II, moderately differentiated"
8072/33,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM - grado III, pobremente diferenciado","Squamous cell carcinoma, large cell, nonkeratinizing, NOS - grade III, poorly differentiated"
8072/34,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM - grado IV, indiferenciado","Squamous cell carcinoma, large cell, nonkeratinizing, NOS - grade IV, undifferentiated"
8072/39,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, large cell, nonkeratinizing, NOS - grade or differentiation not determined or not assigned, or not applicable"
8072/6,"Carcinoma de células escamosas, células grandes, no queratinizante, NEOM, metástasis","Squamous cell carcinoma, large cell, nonkeratinizing, NOS, metastasis"
8073/3,"Carcinoma de células escamosas, células pequeñas, no queratinizante","Squamous cell carcinoma, small cell, nonkeratinizing"
8073/31,"Carcinoma de células escamosas, células pequeñas, no queratinizante - grado I, bien diferenciado","Squamous cell carcinoma, small cell, nonkeratinizing - grade I, well differentiated"
8073/32,"Carcinoma de células escamosas, células pequeñas, no queratinizante - grado II, moderadamente diferenciado","Squamous cell carcinoma, small cell, nonkeratinizing - grade II, moderately differentiated"
8073/33,"Carcinoma de células escamosas, células pequeñas, no queratinizante - grado III, pobremente diferenciado","Squamous cell carcinoma, small cell, nonkeratinizing - grade III, poorly differentiated"
8073/34,"Carcinoma de células escamosas, células pequeñas, no queratinizante - grado IV, indiferenciado","Squamous cell carcinoma, small cell, nonkeratinizing - grade IV, undifferentiated"
8073/39,"Carcinoma de células escamosas, células pequeñas, no queratinizante - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, small cell, nonkeratinizing - grade or differentiation not determined or not assigned, or not applicable"
8073/6,"Carcinoma de células escamosas, células pequeñas, no queratinizante, metástasis","Squamous cell carcinoma, small cell, nonkeratinizing, metastasis"
8074/3,"Carcinoma de células escamosas, células fusiformes","Squamous cell carcinoma, spindle cell"
8074/31,"Carcinoma de células escamosas, células fusiformes - grado I, bien diferenciado","Squamous cell carcinoma, spindle cell - grade I, well differentiated"
8074/32,"Carcinoma de células escamosas, células fusiformes - grado II, moderadamente diferenciado","Squamous cell carcinoma, spindle cell - grade II, moderately differentiated"
8074/33,"Carcinoma de células escamosas, células fusiformes - grado III, pobremente diferenciado","Squamous cell carcinoma, spindle cell - grade III, poorly differentiated"
8074/34,"Carcinoma de células escamosas, células fusiformes - grado IV, indiferenciado","Squamous cell carcinoma, spindle cell - grade IV, undifferentiated"
8074/39,"Carcinoma de células escamosas, células fusiformes - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, spindle cell - grade or differentiation not determined or not assigned, or not applicable"
8074/6,"Carcinoma de células escamosas, células fusiformes, metástasis","Squamous cell carcinoma, spindle cell, metastasis"
8075/3,"Carcinoma de células escamosas, adenoide","Squamous cell carcinoma, adenoid"
8075/31,"Carcinoma de células escamosas, adenoide - grado I, bien diferenciado","Squamous cell carcinoma, adenoid - grade I, well differentiated"
8075/32,"Carcinoma de células escamosas, adenoide - grado II, moderadamente diferenciado","Squamous cell carcinoma, adenoid - grade II, moderately differentiated"
8075/33,"Carcinoma de células escamosas, adenoide - grado III, pobremente diferenciado","Squamous cell carcinoma, adenoid - grade III, poorly differentiated"
8075/34,"Carcinoma de células escamosas, adenoide - grado IV, indiferenciado","Squamous cell carcinoma, adenoid - grade IV, undifferentiated"
8075/39,"Carcinoma de células escamosas, adenoide - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma, adenoid - grade or differentiation not determined or not assigned, or not applicable"
8075/6,"Carcinoma de células escamosas, adenoide, metástasis","Squamous cell carcinoma, adenoid, metastasis"
8076/2,Carcinoma de células escamosas in situ con invasión dudosa del estroma,Squamous cell carcinoma in situ with questionable stromal invasion
8076/21,"Carcinoma de células escamosas in situ con invasión dudosa del estroma - grado I, bien diferenciado","Squamous cell carcinoma in situ with questionable stromal invasion - grade I, well differentiated"
8076/22,"Carcinoma de células escamosas in situ con invasión dudosa del estroma - grado II, moderadamente diferenciado","Squamous cell carcinoma in situ with questionable stromal invasion - grade II, moderately differentiated"
8076/23,"Carcinoma de células escamosas in situ con invasión dudosa del estroma - grado III, pobremente diferenciado","Squamous cell carcinoma in situ with questionable stromal invasion - grade III, poorly differentiated"
8076/24,"Carcinoma de células escamosas in situ con invasión dudosa del estroma - grado IV, indiferenciado","Squamous cell carcinoma in situ with questionable stromal invasion - grade IV, undifferentiated"
8076/29,"Carcinoma de células escamosas in situ con invasión dudosa del estroma - grado o diferenciación sin determinar o sin asignar, o no procede","Squamous cell carcinoma in situ with questionable stromal invasion - grade or differentiation not determined or not assigned, or not applicable"
8076/3,"Carcinoma de células escamosas, microinvasor","Squamous cell carcinoma, microinvasive"
8076/31,"Carcinoma de células escamosas, microinvasor - grado I, bien diferenciado","Squamous cell carcinoma, microinvasive - grade I, well differentiated"
8076/32,"Carcinoma de células escamosas, microinvasor - grado II, moderadamente diferenciado","Squamous cell carcinoma, microinvasive - grade II, moderately differentiated"
8076/33,"Carcinoma de células escamosas, microinvasor - grado III, pobremente diferenciado","Squamous cell carcinoma, microinvasive - grade III, poorly differentiated"
